lambda,prob_exito,recompensa
0.86,0.5,988.8999999999885
0.86,0.7,1354.5000000000075
0.86,0.8,1671.700000000014
0.86,0.9,1855.400000000016
0.9,0.5,977.0999999999899
0.9,0.7,1413.000000000011
0.9,0.8,1753.1000000000158
0.9,0.9,1896.8000000000193
0.94,0.5,859.9999999999892
0.94,0.7,1395.1000000000126
0.94,0.8,1660.3000000000143
0.94,0.9,1815.6000000000201
0.98,0.5,1071.9999999999914
0.98,0.7,1383.4000000000067
0.98,0.8,1712.700000000016
0.98,0.9,1856.7000000000162
