lambda,prob_exito,recompensa
0.86,0.5,1063.699999999993
0.86,0.7,1434.6000000000085
0.86,0.8,1620.4000000000149
0.86,0.9,1867.5000000000173
0.9,0.5,1133.499999999994
0.9,0.7,1392.300000000008
0.9,0.8,1600.4000000000115
0.9,0.9,1746.900000000015
0.94,0.5,943.1999999999882
0.94,0.7,1392.2000000000055
0.94,0.8,1785.700000000018
0.94,0.9,1907.700000000017
0.98,0.5,1092.9999999999955
0.98,0.7,1527.6000000000136
0.98,0.8,1588.5000000000136
0.98,0.9,1897.6000000000145
